model;price;kilometer;fuel type;vitesse;engine
Peugeot 308 2013 Allure;185;217000km;Diesel;1.6 HDI 112ch;Manuelle
Seat Leon 2012;185;293000km;Diesel;2.0 TDI 140ch;Manuelle
Mercedes Classe C 2008 220 Exclusive;185;400km;Diesel;220 CDI;Manuelle
Dacia Logan 2013 Logan;185;146km;Essence;1.2 ess 16V 75ch;Manuelle
Volkswagen Golf 6 2011 R20;185;230000km;Essence;2.0 TSI 270ch DSG6 R20;Automatique
Peugeot Partner 2013 Partner;185;245km;Diesel;1.6 HDI FAP 115 CH;Manuelle
Peugeot 208 2014;185;232km;;1.6 HDI 115ch;
Seat Leon 2011 Cupra R;185;250km;Essence;2.0 ess 265ch Cupra;Manuelle
Renault Clio 4 2013 Clio 4;185;194km;Diesel;1.5 DCI 85ch;Manuelle
Skoda Fabia 2014;185;183km;Essence;1.2 ess 60ch;Manuelle
Hyundai Accent 2012 GLS;185;249000km;GPL;1.5 ess 91ch;Manuelle
Haima 7 2012;185;190000km;GPL;1.6 vvt 150 ch;Manuelle
Volkswagen Polo 2012 Match;185;;;;
Renault Symbol 2018;185;;;;
Peugeot Expert 2009;185;;;;
Volkswagen Golf 6 2012 Carat;185;;;;
Peugeot 308 2011;185;;;;
Seat Ibiza 2013 Fully +Toit ouvrant;185;;;;
Volkswagen Caddy 2012;185;;;;
Volkswagen Golf 6 2013 TDI;185;;;;
Kia Picanto 2019 LX Start;185;;;;
Peugeot Bipper 2014 Tepee;186;228000km;Diesel;1.4 HDI 70ch;Manuelle
Hyundai Tucson 2011 Tucson;186;354km;Diesel;2.0 CRDI 4x2 177ch;Manuelle
Peugeot 207 2013 +207;186;161000km;Essence;1.4 ess 75ch;Manuelle
Peugeot 207 2012 Sportium;186;161000km;Essence;1.4 ess 75ch;Manuelle
Peugeot 301 2013 Allure;186;279000km;Diesel;1.6 HDI 92ch;Manuelle
Renault Clio Campus 2013 Bay bay;186;227km;Essence;1.2;Manuelle
Peugeot 207 2012 Fennec;186;248km;Essence;1.4 ess 75ch;Manuelle
Peugeot 308 2010 Platinum;186;240000km;Diesel;1.6 HDI 110ch;Manuelle
Dacia Logan 2012 0  bentoura roulé 169000.km 1 ère main GPL 2023;186;169000km;Essence;1.4 ess 75ch GPL;Manuelle
Kia Picanto 2014;186;108km;Essence;1.2 ess CVVT 87ch;Manuelle
Citroen C Elysée 2013 Attraction plus;186;192000km;;1.6 VTI 115ch;Manuelle
Leon Leon 2010 Leon 2010;186;280km;;;
Renault Clio Campus 2015;186;154km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Symbol 2011 Symbol;186;3550km;GPL;1.4 ess 75ch;Manuelle
Citroen C3 2012 Essentiel;186;256000km;GPL;1.4 ess 75ch;Manuelle
Renault Clio Campus 2013 Extreme;186;297000km;Essence;1.2 ess 16V 75ch;Manuelle
Great Wall C30 2014 C30;186;161km;GPL;1.5 VVT 105ch;Manuelle
Peugeot 301 2013 Allure;186;294000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot 208 2015 208;186;287km;Diesel;1.6 HDI 92ch;Manuelle
Kia Picanto 2015 Pop+;186;260000km;Essence;1.2 ess CVVT 87ch BVA;Manuelle
Hyundai Accent 2012 GLS;186;280000km;GPL;1.4 ess 86ch;Manuelle
Peugeot 208 2013 Allure;186;252000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot 308 2012 Allure;186;;;;
Audi Q5 2010;186;;;;
Volkswagen Golf 6 2012 Match;187;280000km;Diesel;1.6 TDI 105ch;Manuelle
Toyota Yaris 2012 Touch Active;187;261km;Essence;1.3 VVTI 100ch;Manuelle
Peugeot 208 2013 Active;187;171000km;Essence;1.2 VTI 82ch;Manuelle
Seat Leon 2015 SC;187;133000km;Essence;1.8 TSI 180ch DSG;Automatique
Renault Clio 3 2011 Night and Day;187;169000km;Diesel;1.5 DCI 90ch;Manuelle
Peugeot 208 2014 Active;187;173000km;Essence;1.2 VTI 82ch;Manuelle
Seat Ibiza 2013 Ibiza;187;290000km;Essence;1.4 ess 85ch;Manuelle
Skoda Fabia 2014 Visage;187;274000km;Essence;1.2 ess 60ch;Manuelle
Dacia Logan 2013 Logan;187;3385km;GPL;1.4 ess 75ch;Semi Automatique
Renault Megane 3 2011 Privilege;187;320.000km;Diesel;1.9 130;Manuelle
Renault Symbol 2016 Symbol;187;177km;Essence;1.6 ess 100ch;Manuelle
Renault Clio Campus 2013 Bye bye;187;256km;Essence;1.2 ess 16V 75ch;Manuelle
Chery Sanpl cabin 2021;187;15000km;Essence;;Manuelle
Hyundai Accent 2015;187;300000km;GPL;1.5 ess 91ch;Manuelle
Renault Clio 4 2013 Dynamique;187;218000km;Essence;1.2 ess 16V 75ch;Manuelle
Hyundai i10 2014 GLS;187;208km;Essence;;Manuelle
Kia Sorento 2009;187;230km;Diesel;;Manuelle
Kia Picanto 2014 Style;187;188000km;Essence;1.2 ess CVVT 87ch BVA;Manuelle
Volkswagen Polo 2012 Match;187;;;;
Hyundai Grand i10 2017 La toute;187;;;;
Renault Clio 4 2014 Clio 4;188;243km;Diesel;1.5 DCI 85ch;Manuelle
Volkswagen Polo 2012;188;;;;
Peugeot 208 2014 Access;188;69000km;Essence;1.2 VTI 82ch;Manuelle
Chevrolet Aveo 4 portes 2013 Aveo 4 portes;188;260000km;GPL;;Manuelle
Kia Picanto 2014 pop;188;192345km;Essence;1.2 ess CVVT 87ch;Manuelle
Peugeot 208 2014 Allure;188;233000km;Diesel;1.6 HDI 75ch;Manuelle
Hyundai Accent 2016 GLS;188;378km;Essence;1.5 ess 91ch;Manuelle
Dacia Logan 2014 Logan;188;295000km;GPL;1.2 ess 16V 75ch;Manuelle
Dacia Logan 2012;188;;GPL;1.4 MPI 75ch;Manuelle
Dacia Logan 2012;188;280000km;GPL;1.4 MPI 75ch;Manuelle
Peugeot 308 2009 308;188;300000km;Diesel;1.6 HDI 110ch;Manuelle
Renault Clio 3 2011;188;304km;Diesel;1.5 DCI 90ch;Manuelle
Citroen C3 2011;188;300000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot 207 plus 2012 207 plus;188;200km;Essence;1.4 ess 75ch;Manuelle
Peugeot 207 2013 207;188;194000km;Essence;1.4 ess 75ch;Manuelle
Renault Symbol 2015 Symbol;188;175km;Essence;1.2 ess 16V  75ch;Manuelle
Dacia Sandero 2009 Sandero;188;226000km;Essence;;Manuelle
Hyundai Accent 2012 Accent;188;;Essence;1.5 ess 91ch;Manuelle
Nissan Qashqai 2011;188;;;;
Peugeot 208 2014 Access;189;171km;Essence;1.2 VTI 82ch;Manuelle
Hyundai i10 2014 GL Plus;189;252000km;Essence;1.1;Manuelle
Peugeot 207 2012 Allure;189;200km;Essence;1.4 ess 75ch;Manuelle
Toyota Yaris 2007 Yaris;189;430km;GPL;1.3 VVTI 87ch;Manuelle
Hyundai Grand i10 2018 Gps;189;254000km;Essence;1.2 ess 87ch;Manuelle
Hyundai i10 2018 i10;189;254000km;Essence;1.2;Manuelle
Land Rover Freelander 2 2010 Freelander 2;189;300000km;Diesel;2.2 SD4 - 2.2 D 190ch BVA;Automatique
Volkswagen Polo 2013 Silver;189;;;;
Hyundai Grand i10 2019 Restylée DZ;190;150km;GPL;1.2 ess 87ch;Manuelle
Hyundai Accent 2015 Accent;190;290km;GPL;1.5 ess 91ch;
Volkswagen Polo 2009 Polo;190;168000km;Essence;;Manuelle
Hyundai Accent 2015 GLS;190;290km;;;
Hyundai Accent 2015 GLS;190;290km;GPL;;
Renault Symbol 2015 Extrême;190;295km;GPL;1.6 ess MPi  80 ch;Manuelle
Peugeot 301 2015 Allure;190;230000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot Expert 2008 V.U Long;190;570600km;Diesel;2.0 HDI 125ch;Manuelle
Hyundai Tucson 2010;190;;;;
Renault Clio 4 2013 Clio 4;190;246km;Diesel;1.5 DCI 85ch;Manuelle
Lougan 2015 2015 2015;190;;;;
Kia Picanto 2015 Brazilia;190;208km;Essence;1.2 ess CVVT 87ch;Manuelle
Volkswagen Golf 6 2011 R20;190;266000km;Essence;2.0 TSI 270ch DSG6 R20;Automatique
Kia Picanto 2016 Safety;190;258000km;Essence;1.2 ess CVVT 87ch;Manuelle
Dacia Sandero 2017 Stepway;190;170000km;Diesel;1.5 DCI 90ch;Manuelle
Hyundai i10 2018 Grand;190;215000km;Essence;;Manuelle
Renault Symbol 2017 Made In Bladi;190;272000km;GPL;1.2 ess 16V  75ch;Manuelle
Nissan Navara 2011 Double Cabine;190;235000km;Diesel;2.5 DDTI 4x4 174ch;Manuelle
BMW Série 5 2008 Série 5;190;3550km;Diesel;520d;Automatique
Peugeot 208 2015 Allure;190;211000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot 208 2015 Allure;190;223000km;Diesel;1.6 HDI 75ch;Manuelle
Hyundai i10 2018 i10;190;300km;Essence;1.2;Manuelle
Renault Clio 4 2014 Limited;190;177000km;Essence;1.2 ess 16V 75ch;Manuelle
TIGUAN 2008 2008;190;;;;
Renault Clio Campus 2015 Facelift;190;18500km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Symbol 2016;190;135000km;Essence;1.2 ess 16V  75ch;Manuelle
Dacia Logan 2016 Logan;190;387681km;GPL;1.2 ess 16V 75ch;Manuelle
Dacia Logan 2015 Ambiance;190;169000km;Essence;1.2 ess 16V 75ch;Manuelle
Suzuki Swift 2015 Swift;190;216km;GPL;1.3 VVT 94ch;Manuelle
Renault Clio 4 2014;190;198km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Symbol 2016 Extrême;190;180km;;1.2 ess 16V  75ch;Manuelle
Peugeot 208 2013 Allure;190;175000km;Diesel;1.6 HDI 92ch;Manuelle
Nissan Navara 2010 Navara;190;346672km;;2.5 DDTI 4x4 174ch;Manuelle
Nissan Navara 2010 Elegance 4x4;190;346672km;;2.5 DDTI 4x4 174ch;Manuelle
Peugeot 208 2014;190;199000km;Diesel;1.6 HDI 115ch;Manuelle
Peugeot 2008 2015;190;160km;Essence;;Manuelle
Hyundai Accent 2013 GLS;190;219000km;GPL;1.5 ess 91ch;Manuelle
Volkswagen Polo 2012 Style;190;267km;Essence;1.4 ess 85ch;Manuelle
Peugeot 207 2012 Allure;190;204000km;Diesel;1.6 HDI 92ch;Manuelle
Great Wall C30 2013 C30;190;91000km;Essence;1.5 VVT 105ch;Manuelle
Ford Fiesta 2013 City;190;151000km;Diesel;1.4 TDCI 68ch;Manuelle
Volkswagen Golf 6 2010 Golf 6;190;390km;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 208 2013 Allure;190;218000km;Diesel;1.6 HDI 92ch;Manuelle
Suzuki Alto 2022 Alto;190;17400km;Essence;;Manuelle
Nissan Sunny 2013 Sunny;190;195km;GPL;1.6 ess 100ch;Manuelle
Toyota RAV4 2009;190;359000km;Diesel;2.2 D4D 136ch;Manuelle
Peugeot Partner 2010 Tepee;190;250000km;Diesel;1.6 HDI 110ch;Manuelle
Renault Symbol 2016 Symbol;190;323000km;GPL;1.2 ess 16V  75ch;Manuelle
Volkswagen Golf 6 2010 Team;190;220000km;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 207 2011 Allure;190;234km;Diesel;1.6 HDI 92ch;Manuelle
Hyundai Accent 2015 GLS;190;268000km;GPL;1.5 ess 91ch;Manuelle
Renault Clio 4 2013 Clio 4;190;240000km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Clio 3 2010 Clio 3;190;200000km;Diesel;1.5 DCI 105ch;Manuelle
Chevrolet Cruze 2014 Cruze;190;;Diesel;2.2 163 ch;Manuelle
Volkswagen Caddy 2008 Life;190;478394km;Diesel;105ch tdi;Manuelle
Chevrolet Cruze 2011 LC;190;360000km;Essence;2.0 VCDI 150ch;Manuelle
Renault Clio 4 2013 Dynamique;190;2330000km;Diesel;1.5 DCI 85ch;Manuelle
Peugeot 207 2012 Allure;190;0000km;Diesel;1.6 HDI 92ch;Manuelle
BMW X3 2008 X3;190;295000km;Diesel;2.0i;Automatique
Renault Clio 3 2010 Clio 3;190;220km;Diesel;1.5 DCI 105ch;Manuelle
Peugeot Partner 2013 Partner;190;313000km;Diesel;1.6 HDI 90ch;Manuelle
Hyundai Accent 2015 Last Edition GLS;190;372000km;GPL;1.5 ess 91ch;Manuelle
Seat Ibiza 2013;190;226000km;Essence;1.4 ess 85ch;Manuelle
Seat Ibiza 2011 Loca;190;340km;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 406 2001;190;400000km;Diesel;2.0 HDI 110ch;Manuelle
Renault Symbol 2011 Symbol;190;247km;GPL;1.4 ess 75ch;Manuelle
Renault Symbol 2013 Thalia;190;177600km;Essence;1.2 ess 16V  75ch;Manuelle
Peugeot Partner 2012 Partner;190;241km;Diesel;1.6 HDI 90ch;Manuelle
Renault Symbol 2012 Symbol;190;256000km;Essence;1.4 ess 75ch;Manuelle
Suzuki Swift 2013 Swift;190;138000km;Essence;1.5;
Hyundai i10 2014;190;165km;Essence;;Manuelle
Citroen Berlingo 2012 Berlingo;190;32800km;Diesel;1.6 HDI 90ch;Manuelle
Peugeot 307 2001 307;190;29000km;Diesel;2.0 ess 16V 138ch;Manuelle
Great Wall C30 2013 C30;190;217km;GPL;1.5 VVT 105ch;Manuelle
Dacia Logan 2015 Lauréate;190;284km;GPL;1.2 ess 16V 75ch;Manuelle
Renault Clio Campus 2015 Clio Campus;190;270000km;Essence;1.2 ess 16V 75ch;Automatique
Renault Clio Campus 2012 Bye bye;190;267513km;Essence;1.2 ess 16V 75ch;Manuelle
Peugeot Partner 2013 Partner;190;286km;Diesel;1.6 HDI 112ch;Manuelle
Kia Picanto 2013 Pop;190;202000km;Essence;1.2 ess CVVT 87ch;Manuelle
Peugeot 208 2014 208;190;338000km;Diesel;1.6 HDI 115ch;Manuelle
Renault Clio Campus 2013 Extreme 2;190;183000km;Essence;1.2 ess 16V 75ch;Manuelle
Citroen Berlingo Multispace 2012 Berlingo Multispace;190;370km;Diesel;;Manuelle
Volkswagen Golf 6 2012 Match;190;;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 207 2014 207;190;220km;Essence;1.4 ess 75ch;Manuelle
Renault Symbol 2016 Extrême;190;225000km;Essence;1.2 ess 16V  75ch;Manuelle
Seat Leon 2011;190;244000km;Diesel;2.0 TDI 140ch;Manuelle
Mercedes Classe E 2002;190;220000km;Diesel;270 CDI;Automatique
Peugeot 207 2011;190;234km;Diesel;1.6 HDI 92ch;Manuelle
Kia Sportage 2006 Sportage;190;167000km;Diesel;2.0 CRDI 112ch;Automatique
Renault Clio Campus 2013 Bye bye;190;2450000km;Essence;1.2 ess 16V 75ch;Manuelle
Peugeot 208 2013 Allure;190;137km;Diesel;1.6 HDI 92ch;Manuelle
Renault Twingo 2014 Dynamique;190;179318km;Essence;1.2 ess 16V 75ch;Manuelle
Mercedes Ml270 2005 Cdi;190;420000km;Diesel;W163;Manuelle
Seat Ibiza 2013 Fully;190;263000km;Essence;1.4 ess 85ch;Manuelle
Chery Cowin 2022;190;7000km;;;
Peugeot 407 2009 407;190;190000km;Diesel;1.6 HDI 110ch;Manuelle
Kia Picanto 2015 Safety;190;162000km;Essence;1.2 ess CVVT 87ch;Manuelle
Peugeot 308 2010;190;500km;Diesel;1.6 HDI 110ch;Manuelle
Volkswagen Caddy 2013 Caddy;190;361000km;Diesel;2.0 TDI 140ch;Manuelle
Dacia Sandero 2018 Stepway;190;155000km;Diesel;1.5 DCI 90ch;Manuelle
Chevrolet Optra 4 portes 2012 Optra ls;190;230000km;Diesel;Tcdi 16v   2L;Manuelle
Citroen Berlingo 2009 Berlingo;190;288000km;Diesel;1.9 D 71ch;Manuelle
Chevrolet Sail 4 portes 2014 Sail 4 portes;190;459km;GPL;1.4 ess 97ch;Manuelle
Renault Symbol 2012 Collection;190;295km;GPL;1.4 ess 75ch;Manuelle
Renault Megane 3 2012 boss;190;245000km;Diesel;1.9dci 130ch;Manuelle
Renault Kangoo 2015 Confort (Utilitaire);190;271000km;GPL;1.6 ess 16V 105ch;Manuelle
Land Rover Freelander 2 2010 Freelander 2;190;218000km;Diesel;2.2 SD4 - 2.2 D 190ch BVA;Automatique
Renault Symbol 2014 ;190;1995000km;Essence;1.2 ess 16V  75ch;Manuelle
Audi A1 2012 S Line;190;199000km;Diesel;1.6 TDI 90ch;Manuelle
Hyundai i10 2016 GL Plus;190;216900km;Essence;1.1;Manuelle
Seat Ibiza 2013 Fully;190;276km;Essence;1.4 ess 85ch;Manuelle
Peugeot 208 2014 Silver Line;190;173500km;Essence;1.2 VTI 82ch;Manuelle
Peugeot 301 2015 Allure;190;228000km;Diesel;1.6 HDI 92ch;Manuelle
Peugeot 207 2013 New Active;190;280000km;Essence;1.4 ess 75ch;Manuelle
Seat Ibiza 2014 Fr;190;326000km;Diesel;1.2 TSI 105ch;Manuelle
Kia Picanto 2014 Style;190;236000km;Essence;1.2 ess CVVT 87ch;Manuelle
Citroen Berlingo First  2011;190;276000km;Diesel;1.6;Manuelle
Skoda Octavia 2011 Octavia;190;354km;Diesel;1.9 TDI 105ch;Manuelle
Renault Kangoo 2011 Kangoo;190;250000km;;1.5 DCI 75ch;Manuelle
Peugeot 307 2002;190;306000km;Diesel;2.0 HDI 110ch;Manuelle
Citroen C Elysée 2013 Exclisive;190;222500km;Diesel;1.6 HDI 92ch;Manuelle
Logan stepway Stepway 2013 Stepway;190;400km;Essence;1.6;Manuelle
Renault Scenic 2012 Bose;190;400km;Diesel;1.9 Dci 130;Manuelle
Volkswagen Golf 7 2013 GTI;190;250000km;Essence;2.0 TSI 300ch;Automatique
Bugatti 406 1997;190;297km;Diesel;;Manuelle
JMC JMC 2015 Double cabin;190;167000km;Diesel;2.5;Manuelle
Mercedes Vito viano 2009;190;1111111111km;Diesel;2.2 cdi 646;Automatique
Dacia Logan 2016;190;304km;Essence;1.2;Manuelle
Renault Symbol 2016 Extrême;190;440000km;Essence;1.2 ess 16V  75ch;Manuelle
Citroen C Elysée 2015;190;180000km;Essence;1.6 VTI 115ch;Manuelle
Chevrolet Aveo 5 portes 2014 Aveo 5 portes;190;290000km;GPL;;Manuelle
Hyundai Accent 2012 GLS;190;253000km;GPL;1.5 ess 91ch;Manuelle
Hyundai Accent 2014 GLS;190;305km;GPL;1.5 ess 91ch;Manuelle
Hyundai i10 2015;190;170km;Essence;1.1;Manuelle
Peugeot 207 2012 Allure;190;222km;Diesel;1.6 HDI 92ch;Manuelle
Volkswagen Golf 4 1999 Vr6;190;292000km;Essence;Vr6 2,8l essence  204ch;Manuelle
Peugeot 207 2011 Allure;190;272000km;Diesel;1.6 HDI 92ch;Manuelle
Renault Symbol 2010 Symbol;190;260000km;GPL;1.4 ess 75ch;Manuelle
Peugeot 301 2014 301;190;225000km;Essence;1.6;Manuelle
Seat Leon 2011 Leon;190;380000km;Diesel;2.0 TDI 140ch;Manuelle
Citroen C4 2013 Exclusive;190;260000km;Essence;1.6 VTI 120ch;Automatique
Peugeot 208 2013 Allure;190;195km;Diesel;1.6 HDI 92ch;Manuelle
Nissan Patrol Long 1993 Patrol Long;190;23500km;Diesel;2.8 TD 115ch;Manuelle
Toyota RAV4 2010 RAV4;190;250000km;Diesel;2.2 D4D 177ch;Manuelle
Peugeot 207 2012 Allure;190;83000km;Essence;1.4 VTI 95ch;Manuelle
Renault Symbol 2013 Romania;190;282601km;Essence;1.2;Manuelle
Volkswagen Caddy 2006 Life;190;275000km;Diesel;1.9 tdi;Manuelle
Citroen C Elysée 2013 Exclusive;190;222.000km;Diesel;1.6 HDI 92ch;
Peugeot 207 2012 Allure;190;259000km;;1.6 HDI 92ch;Manuelle
Audi Q5 2010 S Line Pack Tech;190;360000km;Diesel;2.0 TDI 143ch;Automatique
Renault Clio Campus 2012 Bye bye;190;270000km;Essence;1.2 ess 16V 75ch;Manuelle
Nissan Sunny 2014;190;222km;Essence;1.6 ess 100ch;Manuelle
Renault Clio 3 2011 Night and Day;190;193000km;Essence;1.2 GPL 16V 75ch;Manuelle
Kia Cerato 2011 ex;190;268000km;GPL;1.6 ess 124ch;Manuelle
Audi A1 2013 A1;190;285km;Essence;1.4 TFSI 122ch;Automatique
Volkswagen Golf 6 2011 R Line;190;300km;Diesel;1.6 TDI 105ch;Manuelle
Renault Symbol 2015 Symbol;190;2330000km;Essence;1.2 ess 16V  75ch;Manuelle
SsangYong Kyron 2013;190;184000km;Diesel;2.0 XDI 4x2 141ch;Manuelle
Dacia Sandero 2014 Ambiance;190;135000km;GPL;1.6 ess 90ch;Manuelle
Volkswagen Golf 6 2012 Style;190;386000km;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 301 2014;190;148000km;Essence;1.6 VTI 115ch;Manuelle
Audi A1 2013 S Line;190;330000km;Essence;1.4 TFSI 122ch;Automatique
Hyundai Accent 2012;190;243000km;Essence;;Manuelle
Kia Picanto 2014;190;211000km;Essence;1.2 ess CVVT 87ch;Manuelle
Citroen Berlingo 2009 Berlingo;190;324000km;Diesel;1.9 D 71ch;Manuelle
Peugeot 207 2012 La spécial;190;300000km;Diesel;1.6 HDI 112ch;Manuelle
Chery Yoki 2021;190;42000km;;;
Renault Megane 3 2013 Sport Edition;190;346000km;Diesel;1.5 DCI 110ch;Manuelle
Seat Leon 2012 Leon;190;254608km;Diesel;2.0 TDI 140ch;Manuelle
Peugeot Xbar 3 2009 France;190;276km;Diesel;2.0     125 ;Manuelle
Peugeot 207 2013 New Active;190;190km;Essence;1.4 ess 75ch;Manuelle
Audi A4 2006 A4;190;260km;Diesel;2.0 TDI 140ch;Manuelle
Hyundai i10 2014;190;235000km;Essence;1.1;Manuelle
Hyundai i10 2015 i10;190;173700km;Essence;1.1;Manuelle
Peugeot 207 2012 207;190;203500km;GPL;1.4 ess 75ch;Manuelle
Kia Picanto 2013 Pop;190;245000km;Essence;1.2 ess CVVT 87ch;Manuelle
Peugeot 208 2015 208;190;146km;Essence;1.2 VTI 82ch;Manuelle
Cheri Cheri frigo 2020 ;190;129000km;Essence;1.3;Manuelle
Peugeot Boxer 2008 Boxeur 3 panneaux;190;300km;Diesel;2.2 120 boîte 6;Manuelle
Peugeot 208 2015 Style;190;305000km;Diesel;1.6 HDI 92ch;Manuelle
Suzuki Swift 2014 Swift;190;198000km;GPL;1.3 VVT 94ch;Manuelle
Renault Clio Campus 2015 Clio Campus;190;239000km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Symbol 2015;190;26400km;;;
Hyundai i10 2014 i10;190;87329km;Essence;;Semi Automatique
Hyundai i10 2016 GL Plus;190;220000km;Essence;1.2;Manuelle
Suzuki Celerio 2015 Celerio;190;130000km;Essence;1.0 ess 68ch BVA;Automatique
Peugeot 207 2012 207;190;233km;;1.6 HDI 92ch;Manuelle
Renault Clio 3 2011 Dynamique;190;293000km;Diesel;1.5 DCI 90ch;Manuelle
Pegeut 508 2013;190;340km;;2.2;Automatique
Seat Ibiza 2012 Fr;190;314000km;Diesel;1.6 TDI 105ch;Manuelle
Skoda Octavia 2013 Octavia;190;360000km;Diesel;1.9;Manuelle
Toyota Yaris 2008 Yaris;190;380000km;Essence;1.3 VVTI 87ch;Manuelle
Dacia Logan 2015 Logan;190;255km;Essence;1.2 ess 16V 75ch;Manuelle
Kia Sportage 2009 Sportage;190;280km;Diesel;2.0 CRDI 4X2 140ch;Manuelle
Peugeot Partner 2010 Partner;190;100km;Diesel;;Manuelle
Mercedes Classe C 2008 220 Exclusive;190;550000km;Diesel;220 CDI;Manuelle
Kia Picanto 2012;190;2730000km;Essence;1.2 ess CVVT 87ch;Manuelle
Volkswagen Golf 6 2011 Team;190;300km;Diesel;1.6 TDI 105ch;Manuelle
Volkswagen Golf 6 2011 Golf 6;190;310000km;Diesel;2.0 TDI 110ch;Manuelle
Peugeot 3008 2010 3008;190;239km;Diesel;;Manuelle
Renault Symbol 2016 Symbol;190;280000km;Essence;1.2 ess 16V  75ch;Manuelle
Peugeot 3008 2010;190;239000km;Diesel;;Manuelle
Great Wall New Florid 2014 New Florid;190;340km;Essence;1.5 VVT 105ch;Manuelle
Renault Clio Campus 2014 Bye bye;190;229000km;Essence;1.2 ess 16V 75ch;Manuelle
Dacia Logan 2015;190;198.000km;GPL;1.2 ess 16V 75ch;Manuelle
Peugeot 307 2007;190;207000km;Diesel;1.6 HDI 110ch;Manuelle
Audi Q5 2010 S Line Pack Tech;190;254000km;Diesel;2.0 TDI 143ch;Automatique
Volkswagen Amarok 2012 Amarok;190;471314km;Diesel;2.0 TDI 4MOTION 163ch;Manuelle
Seat Leon 2009 Leon;190;;Essence;1.6 ess 102ch;Manuelle
Great Wall C30 2016 C30;190;239000km;Essence;1.5 VVT 105ch;Manuelle
BMW X1 2012;190;342333km;Diesel;xDrive 20d 177;Automatique
Peugeot 207 2012 Allure;190;245km;Diesel;1.6 ess Turbo 175ch;Manuelle
Jeep Compass 2013 Compass;190;290000km;GPL;2.0 VVT 156ch;Manuelle
Volkswagen Polo 2014 Life;190;340000km;Essence;1.4 ess 85ch;Manuelle
Kia Picanto 2014 Pop;190;161000km;Essence;;Manuelle
Peugeot Partner 2014 Partner;190;480000km;Diesel;1.6 HDI 112ch;Manuelle
Renault Clio Campus 2012 Extreme;190;295km;Essence;1.2 ess 16V 75ch;Manuelle
Peugeot 208 2014 Alure;190;275000km;Diesel;1.6 HDI 92chv;Manuelle
Toyota Land Cruiser 1993 Land Cruiser;190;222km;Essence;Ess;Manuelle
Renault Clio Campus 2014 Clio Campus;190;164000km;Essence;1.2 ess 16V 75ch;Manuelle
Renault Symbol 2017 Extrême;190;197000km;GPL;1.6 ess 100ch;Manuelle
Peugeot 301 2013 Allure;190;222000km;Diesel;1.6 HDI 92ch;Manuelle
Chery Yoki 2021;190;0km;Essence;1.1;Manuelle
Renault Clio 3 2012 Clio 3;190;252km;Diesel;1.5 DCI 90ch;Manuelle
Renault Megane 3 2013 Megane 3;190;258000km;Diesel;1.9;Manuelle
Peugeot 406 2022 Hdi;190;404000km;Diesel;2L la 110;Manuelle
Renault Symbol 2017 Symbol;190;207500km;GPL;1.2 ess 16V  75ch;Manuelle
Hyundai Tucson 2010 Prestige;190;253000km;Diesel;2.0 CRDI 136ch;Manuelle
Seat Leon 2012 Leon;190;196000km;Diesel;2.0 TDI 140ch;Manuelle
Hyundai SantaFe 2010 SantaFe;190;331.000km;Diesel;2.2 CRDI 4WD 155ch;Automatique
Citroen C4 2012 Exclusive;190;260000km;Diesel;1.6 e-HDi 115ch;Manuelle
Renault Clio 4 2013;190;300000km;GPL;1.2 ess 16V 75ch;Manuelle
Seat Ibiza 2012 FR;190;220000km;Diesel;1.6 TDI 105ch;Manuelle
Peugeot 208 2014 Active;190;211500km;Diesel;1.6 HDI 115ch;Manuelle
Kia Sportage 2007;190;237000km;Diesel;2.0 CRDI 4X4 140ch;Manuelle
Kia Picanto 2013 Barazilia;190;220km;Essence;;Manuelle
Volkswagen Golf 6 2012 GTD;190;;;;
Peugeot 208 2014;190;;;;
Mitsubishi L200 2005 Doube cabine Evolution;190;;;;
Dacia Sandero 2015 Stepway;190;;;;
Seat Leon 2012 FR;190;;;;
Volkswagen Caddy 2011;190;;;;
Audi Q5 2009 S Line Pack Tech;190;;;;
Peugeot Partner 2009 Tepee Active;190;;;;
Renault Symbol 2019;190;;;;
Toyota Toyota 2009 Bic up;190;;;;
Citroen C4 2013;190;;;;
Renault Kangoo 2014;190;;;;
Chevrolet Captiva 2012 LTZ;190;;;;
Hyundai Accent 2014 GLS;191;214000km;Essence;1.5 ess 91ch;Manuelle
Peugeot Partner 2009 Tepee;191;330000km;Diesel;1.6 HDI 90ch;Manuelle
Peugeot Partner 2014 Origin;191;224000km;Diesel;1.9 D 71ch;Manuelle
